"deep","surf","stra","gender","age","attitude","points"
3.83333333333333,2.63636363636364,3.375,1,53,37,25
3.16666666666667,3.36363636363636,2.75,2,55,31,12
3.66666666666667,2.36363636363636,3.625,1,49,25,24
3.75,2.36363636363636,3.125,2,53,35,10
3.91666666666667,2.90909090909091,3.625,2,49,37,22
5.08333333333333,2.54545454545455,3.625,1,38,38,21
4,2,2.25,2,50,35,21
3.41666666666667,2.90909090909091,4,1,37,29,31
4.58333333333333,2.27272727272727,4.25,2,37,38,24
4.33333333333333,3.09090909090909,3.5,1,42,21,26
3.83333333333333,2.72727272727273,3.625,2,37,39,31
4.16666666666667,2.45454545454545,4.75,1,34,38,31
4.58333333333333,2.27272727272727,3.625,1,34,24,23
3.5,2.90909090909091,3.5,1,34,30,25
4.5,2.45454545454545,1.75,2,35,26,21
3.33333333333333,2.72727272727273,3.125,1,46,25,0
4,2.36363636363636,3.875,1,33,41,31
4.33333333333333,2.90909090909091,1.375,1,32,26,20
3.83333333333333,2.54545454545455,3.25,1,44,26,22
4.41666666666667,3.72727272727273,3,2,29,17,9
4.33333333333333,2.90909090909091,3.75,1,30,27,24
4.16666666666667,2.36363636363636,2.625,2,27,39,28
4.33333333333333,2.54545454545455,2.375,2,29,34,30
4.33333333333333,3.09090909090909,3.625,1,31,27,24
3.83333333333333,2.54545454545455,2.75,1,37,23,9
3.83333333333333,3,1.75,1,26,37,26
4.58333333333333,3.27272727272727,3.25,1,26,44,32
4.08333333333333,2.90909090909091,4,2,30,41,32
4.16666666666667,2.27272727272727,2.125,1,37,24,0
4,2,3.625,1,33,37,33
3.5,3.54545454545455,2.875,1,33,25,29
3.75,3.72727272727273,3,2,28,30,30
5.33333333333333,2.63636363636364,1.625,2,26,34,19
3.75,2.18181818181818,3.25,1,27,32,23
3.08333333333333,2.36363636363636,3.5,1,25,20,19
4,2.72727272727273,3,1,31,24,12
4.83333333333333,1.63636363636364,3.25,2,20,42,10
4.33333333333333,2.63636363636364,1.875,1,39,16,11
4.16666666666667,1.90909090909091,4.375,2,38,31,20
3.41666666666667,2.45454545454545,3.625,2,24,38,26
2.41666666666667,3.36363636363636,2.5,2,26,38,31
3.75,3.36363636363636,1.25,2,25,33,20
4.5,3.45454545454545,4,1,30,17,23
3.08333333333333,3.27272727272727,3,1,25,25,12
3.58333333333333,3.63636363636364,2.5,2,30,32,24
4,2.81818181818182,4.875,1,48,35,17
3.91666666666667,2.45454545454545,5,1,24,32,29
5,3.81818181818182,4.375,1,40,42,23
3.91666666666667,2.18181818181818,3.25,2,25,31,28
3.66666666666667,3.72727272727273,4,1,23,39,31
4.5,3,3.125,1,25,19,23
3.08333333333333,3,2.5,1,23,21,25
4.58333333333333,2.54545454545455,3.125,2,27,25,18
3.91666666666667,3.18181818181818,3.25,2,25,32,19
3.16666666666667,3.63636363636364,2.125,2,23,32,22
4.33333333333333,3.09090909090909,2.75,1,23,26,25
3.16666666666667,3.27272727272727,2.375,1,23,23,21
3.08333333333333,3.36363636363636,3.125,1,45,38,9
4.41666666666667,2.45454545454545,4,1,22,28,28
3.08333333333333,3.45454545454545,4,1,23,33,25
3.83333333333333,2.63636363636364,2.25,2,21,48,29
4.66666666666667,1.81818181818182,3.25,2,21,40,33
4.58333333333333,2.36363636363636,3.625,1,21,40,33
3.58333333333333,2.18181818181818,3.625,1,21,47,25
3.25,2.90909090909091,2.5,1,26,23,18
4.91666666666667,3,1.875,1,25,31,22
3.75,2.54545454545455,2,1,26,27,17
3.66666666666667,2.27272727272727,1.875,2,21,41,25
3.83333333333333,2.36363636363636,2.625,1,22,34,0
3.66666666666667,3,4,1,23,34,28
3.83333333333333,2.36363636363636,2.875,1,22,25,22
1.75,1.72727272727273,3.875,1,22,21,26
3.5,3,2.5,1,22,14,11
4.66666666666667,2.90909090909091,2.75,1,23,19,29
4.75,2.09090909090909,4.5,2,22,37,22
5,2.72727272727273,3.5,2,25,41,0
5.25,2.45454545454545,3.375,2,23,32,21
